employee_id,branch_id,first_name,last_name,email,phone,department,position,salary,hire_date,is_active,manager_id
46,1,Arthur,Gomez,arthur.gomez46@firstnational.bank,(311) 555-8119,Compliance,Operations Manager,81312.51,2022-12-10,1,8.0
47,4,Jerry,Mwangi,jerry.mwangi47@firstnational.bank,(460) 555-1727,Fraud Detection,Insurance Agent,32191.11,2008-11-02,1,24.0
48,6,Henry,Moore,henry.moore48@firstnational.bank,(838) 555-6143,Operations,Customer Service Rep,113332.23,2013-06-21,1,33.0
49,6,Helen,Jordan,helen.jordan49@firstnational.bank,(612) 555-5844,HR,Financial Advisor,53677.93,2017-01-02,1,44.0
50,5,Brian,Crawford,brian.crawford50@firstnational.bank,(615) 555-9977,Insurance,Branch Manager,66337.87,2009-06-05,1,28.0
51,6,Arthur,Diallo,arthur.diallo51@firstnational.bank,(676) 555-8238,Marketing,Compliance Officer,89762.66,2007-08-12,1,43.0
52,9,Lisa,Diaz,lisa.diaz52@firstnational.bank,(879) 555-6491,Commercial Banking,Risk Analyst,108025.91,2010-01-28,1,13.0
53,1,Emily,Miller,emily.miller53@firstnational.bank,(450) 555-8784,Finance,Loan Officer,83462.03,2008-09-20,1,46.0
54,7,Jerry,Mcdonald,jerry.mcdonald54@firstnational.bank,(449) 555-3417,Operations,Branch Manager,132870.56,2004-10-12,1,50.0
55,3,Nathan,Stewart,nathan.stewart55@firstnational.bank,(912) 555-9486,Marketing,Teller,94986.85,2005-06-11,1,30.0
56,9,Paul,Gibson,paul.gibson56@firstnational.bank,(772) 555-6198,Wealth Management,Senior Manager,101229.71,2022-08-23,1,28.0
57,3,Gerald,West,gerald.west57@firstnational.bank,(961) 555-8777,Marketing,Marketing Analyst,116950.78,2012-06-09,1,50.0
58,4,Frances,Marshall,frances.marshall58@firstnational.bank,(481) 555-8206,Commercial Banking,HR Specialist,58497.77,2015-01-24,1,21.0
59,3,Sean,Lee,sean.lee59@firstnational.bank,(354) 555-4788,IT,Financial Advisor,111825.36,2002-11-18,1,27.0
60,9,Jose,Myers,jose.myers60@firstnational.bank,(677) 555-7812,Retail Banking,Compliance Officer,126116.7,2017-06-21,1,58.0
