beneficiary_id,customer_id,beneficiary_name,relationship,bank_name,account_number,routing_number,email,phone,is_active,added_date
42,64,Frank Gonzales,Sibling,Wells Fargo,71806411,850871880,frank.gonzales@email.com,(318) 467-2506,1,2017-02-15
43,255,Brenda Hall,Business Partner,TD Bank,35317350,254590888,brenda.hall@email.com,(406) 523-9059,1,2017-08-10
44,93,Megan Bailey,Other,Bank of America,51542870,875702566,megan.bailey@email.com,(354) 212-5139,1,2017-01-28
45,305,William Wallace,Child,TD Bank,45017942,220187500,william.wallace@email.com,(578) 865-9326,1,2020-02-09
46,74,Thomas Richardson,Parent,Chase,98920756,453568596,thomas.richardson@email.com,(780) 339-6406,1,2017-07-15
47,295,Gabriel Smith,Parent,PNC Bank,83470479,627954995,gabriel.smith@email.com,(706) 822-4665,1,2019-06-08
48,251,Emma Campbell,Child,TD Bank,88513501,473915360,emma.campbell@email.com,(664) 352-4645,1,2020-11-02
49,217,Joe Sanchez,Business Partner,Bank of America,27134190,725986466,joe.sanchez@email.com,(352) 287-4921,1,2018-08-06
50,326,Anthony Clark,Spouse,Citibank,97993516,322776954,anthony.clark@email.com,(251) 309-1481,1,2020-05-01
51,191,Raymond Carter,Other,Chase,33906870,379316598,raymond.carter@email.com,(614) 790-5569,1,2020-11-21
52,88,Pamela Clark,Child,Wells Fargo,26925127,294733680,pamela.clark@email.com,(433) 374-1546,1,2021-04-03
53,269,Judith Cooper,Other,PNC Bank,73687896,163602551,judith.cooper@email.com,(986) 975-5987,1,2017-04-28
54,128,Teresa Clark,Sibling,Chase,80704774,479308147,teresa.clark@email.com,(775) 650-9506,1,2017-04-20
55,64,Walter Baker,Child,Bank of America,66941990,975913238,walter.baker@email.com,(958) 767-4044,1,2016-07-29
56,265,Dennis Wilson,Spouse,Citibank,69911205,172591678,dennis.wilson@email.com,(581) 309-4799,1,2015-11-02
57,155,Zachary Freeman,Parent,Citibank,82519487,103343078,zachary.freeman@email.com,(402) 654-5559,1,2022-04-16
58,279,Douglas Cook,Spouse,Bank of America,39975121,951445856,douglas.cook@email.com,(413) 656-2002,1,2022-07-12
59,137,Nicholas Mwangi,Sibling,Wells Fargo,51097333,493252968,nicholas.mwangi@email.com,(520) 515-1510,1,2019-12-06
60,8,Noah Brown,Parent,Citibank,57791833,445647638,noah.brown@email.com,(865) 719-9499,1,2016-06-17
61,283,Edward Gomez,Business Partner,Bank of America,99541491,233486354,edward.gomez@email.com,(997) 723-1449,1,2022-06-28
62,290,Carl Rivera,Business Partner,Citibank,79454239,445756924,carl.rivera@email.com,(259) 339-9764,1,2018-02-22
63,303,Megan Ford,Friend,Wells Fargo,55716058,653455076,megan.ford@email.com,(697) 953-6801,1,2017-06-16
64,191,Kyle Moore,Sibling,US Bank,23464032,444807800,kyle.moore@email.com,(440) 421-1545,1,2020-01-02
65,211,Robert Butler,Sibling,TD Bank,18167678,792168397,robert.butler@email.com,(878) 914-7579,1,2017-05-23
66,52,Cynthia White,Friend,Bank of America,67814145,848357077,cynthia.white@email.com,(295) 306-6445,1,2018-10-12
67,305,Jeffrey Miller,Child,TD Bank,37590015,879963143,jeffrey.miller@email.com,(316) 394-5188,1,2022-09-07
68,250,Joseph Murphy,Sibling,Bank of America,72614227,109042290,joseph.murphy@email.com,(992) 420-8956,1,2021-06-01
69,15,Grace Collins,Sibling,Bank of America,82269832,723532462,grace.collins@email.com,(340) 252-1238,1,2018-03-20
70,67,Jack Woods,Spouse,TD Bank,29311304,965920109,jack.woods@email.com,(298) 600-3990,1,2024-04-15
71,153,Anna West,Child,US Bank,67928247,700093427,anna.west@email.com,(476) 689-4994,1,2016-08-26
72,32,Patrick Hughes,Other,Capital One,54087187,996013934,patrick.hughes@email.com,(337) 789-1394,1,2018-10-05
73,226,Jeffrey Barnes,Friend,Bank of America,27365843,126015332,jeffrey.barnes@email.com,(661) 362-1560,1,2021-12-20
74,281,Frank Murray,Other,Chase,41427698,436914811,frank.murray@email.com,(912) 918-6256,1,2015-02-15
75,292,Jacqueline Sanchez,Friend,Capital One,82424824,959779723,jacqueline.sanchez@email.com,(965) 469-5549,1,2018-08-11
76,229,Lauren Price,Business Partner,Bank of America,70030582,382973830,lauren.price@email.com,(501) 389-1550,1,2018-07-12
77,326,Eric Anderson,Parent,Bank of America,59647650,841427063,eric.anderson@email.com,(881) 533-7878,1,2020-06-06
78,289,Brenda Williams,Other,Wells Fargo,16509993,225674252,brenda.williams@email.com,(946) 603-9166,1,2023-12-17
79,306,Benjamin Mensah,Business Partner,Citibank,14756008,125809202,benjamin.mensah@email.com,(273) 429-5218,1,2022-01-14
80,18,Christopher Bennett,Parent,Chase,62022595,776541475,christopher.bennett@email.com,(690) 219-2182,1,2017-11-09
81,184,Anna Alexander,Parent,US Bank,10745899,152638946,anna.alexander@email.com,(213) 241-5813,1,2015-06-03
82,212,Jennifer Wood,Parent,PNC Bank,43812038,769231189,jennifer.wood@email.com,(673) 594-9657,1,2023-11-18
83,275,Jason Watson,Other,TD Bank,57111340,282961405,jason.watson@email.com,(569) 616-1310,1,2018-03-01
84,310,Gloria Omondi,Child,US Bank,63192552,556339155,gloria.omondi@email.com,(337) 523-8266,1,2019-09-25
85,99,Jessica Perez,Friend,Chase,73151137,746863028,jessica.perez@email.com,(539) 956-2296,1,2016-01-01
86,88,Martha Lewis,Business Partner,Bank of America,61547258,478927754,martha.lewis@email.com,(381) 897-7109,1,2015-09-03
87,189,Carl Walker,Friend,PNC Bank,90753757,124154534,carl.walker@email.com,(515) 446-2783,1,2018-10-17
88,37,Jennifer Wallace,Other,TD Bank,44456751,176403328,jennifer.wallace@email.com,(847) 643-5497,1,2020-05-24
89,97,Judith Fisher,Other,Bank of America,93999287,142809551,judith.fisher@email.com,(907) 434-3560,1,2022-11-09
90,299,Amy Young,Sibling,Capital One,73325256,162181197,amy.young@email.com,(366) 570-6034,1,2019-03-20
91,262,Betty Reynolds,Parent,US Bank,47321075,507726041,betty.reynolds@email.com,(807) 629-5634,1,2019-02-05
92,311,Gabriel Kennedy,Other,Wells Fargo,43728273,833563080,gabriel.kennedy@email.com,(515) 286-9884,1,2017-07-22
93,35,Melissa Wells,Other,Bank of America,42491270,576669100,melissa.wells@email.com,(847) 330-5454,1,2023-05-14
94,253,Baraka Cox,Business Partner,Wells Fargo,87614950,591299681,baraka.cox@email.com,(966) 934-6318,1,2021-06-11
95,154,Nancy Kelly,Friend,US Bank,12686388,105332442,nancy.kelly@email.com,(788) 876-6071,1,2019-04-24
96,131,Gregory Freeman,Sibling,Citibank,87851575,266072502,gregory.freeman@email.com,(859) 966-5738,1,2021-04-14
97,287,Christian Mcdonald,Spouse,TD Bank,42736366,613698025,christian.mcdonald@email.com,(606) 882-8820,1,2019-09-09
98,241,Angela Juma,Child,TD Bank,81287183,148626142,angela.juma@email.com,(529) 454-5492,1,2016-08-29
99,289,Rachel Lewis,Spouse,TD Bank,26457685,554680773,rachel.lewis@email.com,(329) 751-8313,1,2018-06-09
100,235,Kelly Ramos,Sibling,Capital One,63724381,909117640,kelly.ramos@email.com,(258) 908-2337,1,2021-08-06
101,98,Donald Mensah,Parent,Wells Fargo,61076274,371783746,donald.mensah@email.com,(329) 550-4450,1,2016-04-08
102,297,Zachary Ramos,Sibling,Chase,81262542,952067620,zachary.ramos@email.com,(563) 630-8331,1,2018-07-28
103,14,Alice Robinson,Business Partner,PNC Bank,97590735,568227904,alice.robinson@email.com,(951) 417-7810,1,2020-06-09
104,143,Elizabeth Bennett,Other,TD Bank,74084715,616811674,elizabeth.bennett@email.com,(313) 478-1557,1,2018-12-26
105,29,Christina Bryant,Child,PNC Bank,12452387,848625795,christina.bryant@email.com,(287) 568-7037,1,2018-03-01
106,19,Angela Diaz,Business Partner,PNC Bank,71510769,972138712,angela.diaz@email.com,(531) 335-7065,1,2019-05-15
107,252,Grace Edwards,Parent,US Bank,83762654,388929725,grace.edwards@email.com,(565) 544-6518,1,2022-12-16
108,200,Fatuma Stevens,Other,Capital One,38255743,359873217,fatuma.stevens@email.com,(546) 906-5448,1,2017-01-22
109,14,James Long,Friend,PNC Bank,38966370,937891167,james.long@email.com,(210) 902-8361,1,2016-10-19
110,67,Ethan Ellis,Friend,Wells Fargo,73726936,517764465,ethan.ellis@email.com,(785) 534-9315,1,2021-03-28
111,285,Cheryl Thomas,Friend,US Bank,31151508,889609423,cheryl.thomas@email.com,(860) 636-7604,1,2015-04-04
112,217,Jacob Jordan,Other,Chase,95392172,301219743,jacob.jordan@email.com,(996) 675-8129,1,2022-08-22
113,277,Brandon Gomez,Child,US Bank,36379955,842990524,brandon.gomez@email.com,(569) 247-1927,1,2020-05-28
114,53,Jesse Coleman,Sibling,PNC Bank,40055936,613462243,jesse.coleman@email.com,(707) 999-8651,1,2022-08-20
115,72,Terry Bailey,Parent,TD Bank,24250019,551052179,terry.bailey@email.com,(494) 777-2058,1,2021-07-29
116,99,Mark Fisher,Business Partner,Capital One,88106922,458278536,mark.fisher@email.com,(222) 903-8712,1,2024-01-02
117,311,Brian Sanders,Child,PNC Bank,14841910,206416947,brian.sanders@email.com,(597) 820-2211,1,2018-11-29
118,272,Ruth Stevens,Spouse,TD Bank,93870294,647205411,ruth.stevens@email.com,(345) 413-1876,1,2020-05-12
119,11,Fatuma Lopez,Friend,Bank of America,36397483,331669346,fatuma.lopez@email.com,(972) 967-6044,1,2024-04-01
120,73,Arthur Jones,Child,TD Bank,50218573,348784267,arthur.jones@email.com,(382) 642-3876,1,2023-07-02
121,51,Brenda Diaz,Friend,Chase,22118106,848080170,brenda.diaz@email.com,(588) 888-6774,1,2021-11-06
122,61,Bryan Walker,Business Partner,Wells Fargo,86821268,422688716,bryan.walker@email.com,(630) 469-1645,1,2017-10-09
123,278,Sarah Ramirez,Child,TD Bank,90470634,201395572,sarah.ramirez@email.com,(469) 645-6852,1,2021-08-14
124,43,Rachel Harris,Business Partner,Wells Fargo,13690263,969430911,rachel.harris@email.com,(393) 436-1975,1,2019-02-14
125,222,Jesse Barnes,Business Partner,Capital One,96745374,722409880,jesse.barnes@email.com,(459) 357-4552,1,2021-06-08
126,286,Justin Carter,Business Partner,Citibank,74648810,483590806,justin.carter@email.com,(892) 963-5702,1,2016-10-13
127,154,Hannah Ruiz,Sibling,Citibank,73625212,872563931,hannah.ruiz@email.com,(690) 447-6021,1,2022-01-15
128,28,Gerald Price,Business Partner,Citibank,11305758,976489257,gerald.price@email.com,(948) 383-8349,1,2020-04-29
129,233,Paul Lee,Friend,Citibank,20015321,530603902,paul.lee@email.com,(362) 566-1763,1,2018-09-13
130,81,Alexander Phillips,Sibling,TD Bank,92864576,751035870,alexander.phillips@email.com,(349) 484-6000,1,2022-07-30
131,239,Keith Peterson,Child,Capital One,84940593,871694182,keith.peterson@email.com,(672) 980-8985,1,2021-08-10
132,270,Kathleen Wells,Friend,US Bank,89794211,185102807,kathleen.wells@email.com,(375) 739-8146,1,2019-12-18
133,250,Kevin Kennedy,Sibling,US Bank,76822097,946594624,kevin.kennedy@email.com,(751) 592-2367,1,2015-08-02
134,227,Emma Jones,Sibling,Wells Fargo,90102255,504966576,emma.jones@email.com,(835) 590-6136,1,2017-01-18
135,163,Larry Sanchez,Sibling,Citibank,19973535,814811836,larry.sanchez@email.com,(726) 251-3305,1,2015-03-16
136,136,Pamela Garcia,Spouse,Chase,71765956,965085277,pamela.garcia@email.com,(304) 780-2131,1,2016-07-05
137,128,Jordan Cox,Other,Citibank,71255747,160375531,jordan.cox@email.com,(384) 632-6970,1,2019-11-29
138,150,Hannah Sanchez,Friend,Capital One,39798686,959384293,hannah.sanchez@email.com,(566) 525-1490,1,2015-11-20
139,190,Teresa Parker,Child,Bank of America,98814834,185319563,teresa.parker@email.com,(231) 316-6296,1,2020-09-24
140,203,Nicole Jenkins,Sibling,Citibank,22298178,972536030,nicole.jenkins@email.com,(424) 688-1942,1,2022-10-15
141,237,Elizabeth Taylor,Parent,Citibank,22385009,584269829,elizabeth.taylor@email.com,(568) 624-1454,1,2023-12-29
142,4,Cheryl Cook,Child,Bank of America,69767807,328825128,cheryl.cook@email.com,(664) 418-4867,1,2024-05-08
143,325,Jordan Ford,Business Partner,Chase,21197432,106112116,jordan.ford@email.com,(300) 876-5741,1,2021-05-06
144,81,Carol Reynolds,Spouse,Wells Fargo,31379741,879509359,carol.reynolds@email.com,(893) 467-1254,1,2015-01-01
145,107,Adam Martin,Friend,Capital One,54914543,389828451,adam.martin@email.com,(909) 807-7985,1,2019-07-09
146,161,Susan Baker,Other,Bank of America,46352263,367953602,susan.baker@email.com,(549) 755-1678,1,2024-05-11
147,43,Stephen Ellis,Spouse,Chase,14367911,425164420,stephen.ellis@email.com,(547) 253-2358,1,2018-07-17
148,58,Gary Moore,Friend,PNC Bank,92040192,972629798,gary.moore@email.com,(842) 616-1952,1,2024-04-24
149,208,Joshua Ford,Friend,Citibank,46779698,955440628,joshua.ford@email.com,(974) 706-8941,1,2021-10-22
150,26,Lauren Hamilton,Other,PNC Bank,44449463,639474783,lauren.hamilton@email.com,(540) 585-3452,1,2018-07-21
151,5,Ethan Morales,Other,US Bank,32701719,292696243,ethan.morales@email.com,(517) 610-5275,1,2023-06-29
152,303,Joseph Fisher,Parent,Capital One,24714183,937905591,joseph.fisher@email.com,(946) 978-9061,1,2018-10-14
153,266,Eric Ramirez,Child,TD Bank,76974501,217435358,eric.ramirez@email.com,(318) 507-2591,1,2019-04-17
154,285,Joseph Jenkins,Spouse,Bank of America,86171554,636029223,joseph.jenkins@email.com,(887) 538-6801,1,2020-06-30
155,88,David Vasquez,Sibling,TD Bank,83605264,509542755,david.vasquez@email.com,(533) 247-5303,1,2018-01-14
156,154,Justin White,Parent,Wells Fargo,93769469,379792312,justin.white@email.com,(984) 348-7625,1,2020-07-15
157,272,Grace Jones,Friend,Chase,56512963,146844258,grace.jones@email.com,(266) 536-3029,1,2017-07-20
158,213,Douglas Alvarez,Other,Wells Fargo,65124165,647444932,douglas.alvarez@email.com,(458) 832-8278,1,2015-06-26
159,131,Emma Torres,Spouse,Capital One,85623623,814343062,emma.torres@email.com,(717) 319-5830,1,2016-09-05
160,196,Mary Griffin,Business Partner,Bank of America,68940169,801562752,mary.griffin@email.com,(210) 245-8031,1,2020-12-30
161,113,Karen Gomez,Sibling,PNC Bank,87414302,607244004,karen.gomez@email.com,(357) 887-4696,1,2021-09-07
162,201,Logan Bryant,Sibling,Bank of America,16358098,435961980,logan.bryant@email.com,(457) 324-8520,1,2023-10-14
163,20,Lisa Hughes,Spouse,TD Bank,68038375,114927636,lisa.hughes@email.com,(282) 904-8490,1,2018-11-25
164,4,Mark Washington,Spouse,TD Bank,73518827,694420243,mark.washington@email.com,(456) 383-9305,1,2018-03-09
165,234,Jack Russell,Sibling,Bank of America,81064814,771230434,jack.russell@email.com,(638) 694-8900,1,2023-12-18
166,220,Elizabeth Alexander,Sibling,Wells Fargo,22393623,748660551,elizabeth.alexander@email.com,(943) 363-3897,1,2021-03-16
167,301,Cynthia Brooks,Other,Bank of America,44754988,320440967,cynthia.brooks@email.com,(210) 850-3474,1,2016-03-29
168,232,Patrick Green,Child,PNC Bank,93504849,621061944,patrick.green@email.com,(747) 427-4215,1,2019-09-28
169,28,Kyle Cox,Friend,Bank of America,32894591,837632762,kyle.cox@email.com,(988) 246-6657,1,2021-08-25
170,147,Teresa Kelly,Business Partner,TD Bank,94295455,930273877,teresa.kelly@email.com,(600) 805-9739,1,2021-01-18
171,91,Linda White,Business Partner,Wells Fargo,55934951,911042276,linda.white@email.com,(614) 332-1996,1,2020-12-19
172,50,Sharon Hamilton,Business Partner,Chase,85075031,679516769,sharon.hamilton@email.com,(239) 352-6860,1,2020-07-03
173,36,Albert Martinez,Other,Capital One,97098177,280820837,albert.martinez@email.com,(934) 248-7524,1,2023-01-21
174,32,Kathleen Chavez,Child,PNC Bank,55238218,764705219,kathleen.chavez@email.com,(560) 837-2730,1,2018-07-26
175,225,Ashley Henderson,Sibling,Bank of America,68464298,857290758,ashley.henderson@email.com,(623) 355-7649,1,2024-01-12
176,204,Frank Tucker,Other,Citibank,61775882,158358754,frank.tucker@email.com,(335) 999-6894,1,2017-09-24
177,250,Dennis Alvarez,Child,Wells Fargo,18135368,764463006,dennis.alvarez@email.com,(351) 382-6344,1,2018-02-04
178,282,Patrick Lopez,Spouse,Capital One,92469330,388011854,patrick.lopez@email.com,(218) 827-8195,1,2021-04-09
179,287,Kyle Turner,Sibling,Bank of America,81916114,314844474,kyle.turner@email.com,(851) 494-2921,1,2023-06-19
180,328,Joseph Wilson,Spouse,Capital One,62279136,446403325,joseph.wilson@email.com,(752) 499-9442,1,2018-03-22
181,119,Kathleen Simpson,Spouse,Chase,47131767,562348200,kathleen.simpson@email.com,(263) 430-6131,1,2024-05-19
182,1,Logan Hamilton,Business Partner,TD Bank,15120580,512116125,logan.hamilton@email.com,(482) 778-5013,1,2020-04-10
183,146,Catherine Johnson,Parent,TD Bank,91953493,154695204,catherine.johnson@email.com,(850) 522-4974,1,2015-08-25
184,8,Shirley Ellis,Child,TD Bank,97892973,668833786,shirley.ellis@email.com,(790) 224-3618,1,2020-02-09
185,189,Nathan Gomez,Spouse,Citibank,10588283,836188447,nathan.gomez@email.com,(986) 248-6253,1,2022-01-26
186,320,Richard Walker,Friend,PNC Bank,75893145,452620316,richard.walker@email.com,(505) 693-4436,1,2021-01-29
187,278,Keith Smith,Parent,Wells Fargo,75057336,430129301,keith.smith@email.com,(224) 591-3620,1,2020-09-22
188,167,Kevin Ruiz,Other,Chase,69648000,275875156,kevin.ruiz@email.com,(552) 522-4665,1,2017-01-22
189,72,Patricia Jenkins,Friend,PNC Bank,19793345,443170974,patricia.jenkins@email.com,(578) 257-2918,1,2017-02-11
190,130,Raymond Green,Sibling,Bank of America,22330722,960040644,raymond.green@email.com,(648) 766-9358,1,2020-04-25
191,7,Juma Ross,Business Partner,PNC Bank,26385947,323621916,juma.ross@email.com,(837) 964-2972,1,2020-12-13
192,45,Bruce Kelly,Friend,Chase,58164867,903864905,bruce.kelly@email.com,(294) 496-2668,1,2016-06-04
193,253,Jennifer Smith,Parent,Chase,46889531,889174911,jennifer.smith@email.com,(582) 269-6426,1,2019-10-19
194,109,Arthur Osei,Child,Wells Fargo,73461082,537190989,arthur.osei@email.com,(916) 839-3382,1,2023-10-19
195,293,Maria Snyder,Friend,US Bank,70139403,342801244,maria.snyder@email.com,(723) 676-4327,1,2015-06-22
196,190,Kathryn Hill,Child,Citibank,90897097,152008880,kathryn.hill@email.com,(584) 252-7012,1,2019-08-18
197,24,Ronald Reynolds,Sibling,Bank of America,29959779,423915139,ronald.reynolds@email.com,(326) 408-8818,1,2017-04-20
198,316,Bryan Brooks,Spouse,Wells Fargo,96594655,436014343,bryan.brooks@email.com,(748) 271-4634,1,2019-10-29
199,148,Heather Omondi,Other,Citibank,67804791,419417118,heather.omondi@email.com,(412) 637-6733,1,2022-08-09
200,44,Salma Roberts,Business Partner,US Bank,52294327,844085580,salma.roberts@email.com,(810) 486-7108,1,2019-09-20
201,189,Gloria Walker,Spouse,PNC Bank,24611331,415192850,gloria.walker@email.com,(590) 918-4812,1,2023-11-09
202,274,Marie Ramirez,Sibling,TD Bank,65143545,938652177,marie.ramirez@email.com,(433) 445-1759,1,2016-06-11
203,144,Ronald Williams,Child,Citibank,42302999,972884032,ronald.williams@email.com,(427) 908-9489,1,2020-11-21
204,54,Grace Morgan,Business Partner,Capital One,10545908,925188078,grace.morgan@email.com,(348) 532-1443,1,2021-11-05
205,254,Albert Flores,Spouse,US Bank,10774133,126039105,albert.flores@email.com,(996) 517-5016,1,2023-09-09
206,195,Ann Ramos,Sibling,US Bank,72720220,143061927,ann.ramos@email.com,(711) 867-3503,1,2019-05-12
207,238,David Adams,Parent,TD Bank,77946312,750660729,david.adams@email.com,(628) 636-4318,1,2019-08-20
208,183,Christian Davis,Child,TD Bank,35975428,668992746,christian.davis@email.com,(259) 768-9615,1,2016-08-26
209,23,Stephanie Carter,Friend,TD Bank,13965137,200252735,stephanie.carter@email.com,(823) 794-9880,1,2016-11-26
210,256,Emma Gibson,Spouse,TD Bank,58578380,206596363,emma.gibson@email.com,(736) 909-7490,1,2016-07-21
211,289,Anthony Smith,Friend,Capital One,35249294,533539378,anthony.smith@email.com,(671) 740-3848,1,2020-09-01
212,217,Logan Moore,Friend,Capital One,11513077,114787168,logan.moore@email.com,(587) 993-7536,1,2023-11-21
213,33,Martha Castillo,Child,TD Bank,88919145,150411873,martha.castillo@email.com,(519) 944-3677,1,2019-02-22
214,137,Carol Freeman,Sibling,PNC Bank,77589426,124950975,carol.freeman@email.com,(632) 759-2230,1,2022-08-07
215,69,Christina Nkosi,Child,US Bank,23537607,814925592,christina.nkosi@email.com,(825) 824-8476,1,2021-10-12
216,112,Kelly Williams,Spouse,Chase,84841091,166881577,kelly.williams@email.com,(743) 417-5331,1,2021-04-07
217,178,Mary Freeman,Business Partner,US Bank,44549209,669842821,mary.freeman@email.com,(666) 764-1729,1,2024-03-12
218,127,Anna Webb,Child,US Bank,65898626,954608196,anna.webb@email.com,(525) 752-7179,1,2022-10-05
219,199,Joan Wright,Spouse,Wells Fargo,23416249,332520274,joan.wright@email.com,(271) 886-9263,1,2022-09-17
220,217,Linda Kim,Business Partner,Capital One,49949169,160250314,linda.kim@email.com,(527) 855-8807,1,2022-02-15
